ComponentType,Manufacturer,Model,PartNumber,SerialNumber,TMS System Type Description,E.164 Alias,TMS System Name,MasterSerialNumber,System Type,Cart Type,Unique ID,Facility,MEDICAL CENTER,IFCAPPONumber,POC,IP Address,Visn
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV31D00183,TANDBERG Codec C40,9502546,V07.CMS.TMD.SOPC.102,000047-106980,Telehealth Patient Cart System,Specialty,23460,544,VA MEDICAL CENTER-COLUMBIA,544-1A5022,,10.60.52.4,7
Main codec camera,,Camera,,B1AB31D00395,,,,000047-106980,Telehealth Patient Cart System,Specialty,,544,VA MEDICAL CENTER-COLUMBIA,544-1A5022,,,7
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5474,,,,000047-106980,Telehealth Patient Cart System,Specialty,,544,VA MEDICAL CENTER-COLUMBIA,544-1A5022,,,7
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV25D00006,,,,000066-106766,Telehealth Patient Cart System,Clinical,,648,VA MEDICAL CENTER-VANCOUVER,648-A10753,,,20
Main codec camera,,Camera,,B1AB23D00303,,,,000066-106766,Telehealth Patient Cart System,Clinical,,648,VA MEDICAL CENTER-VANCOUVER,648-A10753,,,20
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,Y532,,,,000066-106766,Telehealth Patient Cart System,Clinical,,648,VA MEDICAL CENTER-VANCOUVER,648-A10753,,,20
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5181,,,,000066-106766,Telehealth Patient Cart System,Clinical,,648,VA MEDICAL CENTER-VANCOUVER,648-A10753,,,20
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV25D00064,,,,000066-106767,Telehealth Patient Cart System,Clinical,,648,VA MEDICAL CENTER-VANCOUVER,648-A10753,,,20
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,Z376,,,,000066-106767,Telehealth Patient Cart System,Clinical,,648,VA MEDICAL CENTER-VANCOUVER,648-A10753,,,20
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5229,,,,000066-106767,Telehealth Patient Cart System,Clinical,,648,VA MEDICAL CENTER-VANCOUVER,648-A10753,,,20
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00070,TANDBERG Codec C40,9501713,V05.MWV.TMD.CRT.1E101,0001006-008127,Telehealth Patient Cart System,Clinical,21648,613,DEPARTMENT OF VETERANS AFFAIRS - MARTINSBURG,613-A20080,,10.40.208.11,5
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,923113,,,,0001006-008127,Telehealth Patient Cart System,Clinical,,613,DEPARTMENT OF VETERANS AFFAIRS - MARTINSBURG,613-A20080,,,5
Main codec camera,,Camera,,B1AB40D00264,,,,0001006-008127,Telehealth Patient Cart System,Clinical,,613,DEPARTMENT OF VETERANS AFFAIRS - MARTINSBURG,613-A20080,,,5
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A2044,,,,0001006-008127,Telehealth Patient Cart System,Clinical,,613,DEPARTMENT OF VETERANS AFFAIRS - MARTINSBURG,613-A20080,,,5
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM6318,,,,0001006-008127,Telehealth Patient Cart System,Clinical,,613,DEPARTMENT OF VETERANS AFFAIRS - MARTINSBURG,613-A20080,,,5
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV40D00139,TANDBERG Codec C40,9543218,V02.CAN.TMD.B1Rm419,000157-005152,Telehealth Patient Cart System,Clinical,9119,528,VA MEDICAL CENTER-CANANDAIGUA,528-A10717,,10.19.28.24,2
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921138,,,,000157-005152,Telehealth Patient Cart System,Clinical,,528,VA MEDICAL CENTER-CANANDAIGUA,528-A10717,,,2
Main codec camera,,Camera,,B1AB38D00352,,,,000157-005152,Telehealth Patient Cart System,Clinical,,528,VA MEDICAL CENTER-CANANDAIGUA,528-A10717,,,2
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1170,,,,000157-005152,Telehealth Patient Cart System,Clinical,,528,VA MEDICAL CENTER-CANANDAIGUA,528-A10717,,,2
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5640,,,,000157-005152,Telehealth Patient Cart System,Clinical,,528,VA MEDICAL CENTER-CANANDAIGUA,528-A10717,,,2
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV40D00124,,,,000157-005154,Telehealth Patient Cart System,Clinical,,528,VA MEDICAL CENTER-CANANDAIGUA,528-A10717,,,2
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,920893,,,,000157-005154,Telehealth Patient Cart System,Clinical,,528,VA MEDICAL CENTER-CANANDAIGUA,528-A10717,,,2
Main codec camera,,Camera,,B1AB40D00146,,,,000157-005154,Telehealth Patient Cart System,Clinical,,528,VA MEDICAL CENTER-CANANDAIGUA,528-A10717,,,2
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1191,,,,000157-005154,Telehealth Patient Cart System,Clinical,,528,VA MEDICAL CENTER-CANANDAIGUA,528-A10717,,,2
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV31D00148,TANDBERG Codec C40,9500918,V03.NOP.TMD.CBOC.BAYSHORE,000161-005093,Telehealth Patient Cart System,Clinical,10114,632,Northport VA Medical Center,632-A10066,,10.29.71.123,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,920772,,,,000161-005093,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Main codec camera,,Camera,,B1AB38D00217,,,,000161-005093,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1239,,,,000161-005093,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5662,,,,000161-005093,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV36D00186,,,,000161-005095,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921257,,,,000161-005095,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Main codec camera,,Camera,,B1AB38D00400,,,,000161-005095,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1155,,,,000161-005095,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5680,,,,000161-005095,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV37D00018,TANDBERG Codec C40,9500909,V03.NOP.CBOC.NUMC..RM104,000161-005097,Telehealth Patient Cart System,Clinical,9734,561,East Orange VA Medical Center,561-A10071,,10.29.71.196,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921259,,,,000161-005097,Telehealth Patient Cart System,Clinical,,561,East Orange VA Medical Center,561-A10071,,,3
Main codec camera,,Camera,,B1AB38D00219,,,,000161-005097,Telehealth Patient Cart System,Clinical,,561,East Orange VA Medical Center,561-A10071,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5648,,,,000161-005097,Telehealth Patient Cart System,Clinical,,561,East Orange VA Medical Center,561-A10071,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV37D00014,TANDBERG Codec C40,9500981,V03.EAS.TMD.B1RM5-251,000161-005099,Telehealth Patient Cart System,Clinical,10188,632,Northport VA Medical Center,632-A10066,,10.27.122.39,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921268,,,,000161-005099,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Main codec camera,,Camera,,B1AB38D00231,,,,000161-005099,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1156,,,,000161-005099,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5711,,,,000161-005099,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV31D00153,TANDBERG Codec C40,9500921,V03.NOP.TMD.B65.RM205A,000161-005101,Telehealth Patient Cart System,Clinical,10117,632,Northport VA Medical Center,632-A10066,,10.29.122.31,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921267,,,,000161-005101,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Main codec camera,,Camera,,B1AB38D00204,,,,000161-005101,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1152,,,,000161-005101,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5720,,,,000161-005101,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV36D00127,TANDBERG Codec C40,9500917,V03.NOP.TMD.B200.RME249,000161-005103,Telehealth Patient Cart System,Clinical,10112,632,Northport VA Medical Center,632-A10066,,10.29.122.16,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921250,,,,000161-005103,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Main codec camera,,Camera,,B1AB38D00223,,,,000161-005103,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1159,,,,000161-005103,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5739,,,,000161-005103,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV36D00091,TANDBERG Codec C40,9501012,V03.EAS.CBOC.HAK.B1RM1-111,000161-005105,Telehealth Patient Cart System,Clinical,10013,632,Northport VA Medical Center,632-A10066,,10.27.71.135,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921126,,,,000161-005105,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Main codec camera,,Camera,,B1AB38D00212,,,,000161-005105,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1217,,,,000161-005105,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5710,,,,000161-005105,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
